file,violations,points
tuinalogy-services/C01\KK-04.md,0,GB-21
tuinalogy-services/C01\KP-03.md,0,LI-4;SP-6
tuinalogy-services/C02\KK-02.md,0,LI-4;GB-21
tuinalogy-services/C02\KP-01.md,0,LI-4;SP-6;GB-21
tuinalogy-services/C02\KP-02.md,0,LI-4;GB-21
tuinalogy-services/C03\KK-02.md,0,LI-4
tuinalogy-services/C03\KP-01.md,0,GB-21
tuinalogy-services/C03\KP-02.md,0,LI-4;GB-21
tuinalogy-services/C04\KK-02.md,0,LI-4;GB-21
tuinalogy-services/C04\KP-01.md,0,GB-21
tuinalogy-services/C04\KP-02.md,0,LI-4;GB-21
tuinalogy-services/C04\KP-03.md,0,GB-21
tuinalogy-services/E01\KP-03.md,0,LI-4
tuinalogy-services/E02\KK-01.md,0,LI-4;GB-21
tuinalogy-services/E02\KK-02.md,0,LI-4;SP-6;GB-21
tuinalogy-services/E02\KK-03.md,0,LI-4;SP-6;GB-21
tuinalogy-services/E02\KP-01.md,0,LI-4;SP-6;GB-21
tuinalogy-services/E02\KP-02.md,0,LI-4;SP-6;GB-21
tuinalogy-services/E02\KP-03.md,0,LI-4;SP-6;GB-21
TOTAL,0,
