Regulation,Section,Required Coverage,Files Addressing,Status,Recommendation
T&CM Act 2013,Registration and Scope of Practice (Part III),All CU lesson plans and information sheets must state that tuina services must be performed only by registered T&CM practitioners. Reference T&CM Act 2013 Part III.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\KK-01.md; C01\KK-04.md; C01\KP-01.md; C01\KP-03.md; C01\KP-04.md; C01\PM-amali.md; C01\PM-teori.md; C02\00-cocu.md; C02\KK-01.md; C02\KK-02.md; C02\KK-03.md; C02\KP-01.md; C02\KP-02.md; C02\KP-03.md; C02\PM-teori.md; C03\KK-02.md; C03\KP-01.md; C03\KP-02.md; C03\PM-teori.md; C04\KK-02.md; C04\KP-01.md; C04\KP-02.md; C04\KP-03.md; C04\PM-teori.md; C05\00-cocu.md; C05\KA.md; C05\KK-01.md; C05\KK-06.md; C05\KP-01.md; C05\KP-03.md; C05\KP-05.md; C05\KP-06.md; C05\KT-01.md; C05\KT-05.md; C05\KT-06.md; C05\PM-amali.md; C05\PM-teori.md; E01\KA.md; E01\KP-03.md; E02\KK-01.md; E02\KK-02.md; E02\KK-03.md; E02\KP-01.md; E02\KP-02.md; E02\KP-03.md; E02\PA.md,Compliant,Coverage confirmed in 48 file(s). Verify depth of coverage in periodic review.
T&CM Act 2013,Prohibited Acts and Restrictions (Section 28),KP documents covering assessment and treatment must list prohibited acts. Contraindication documentation must cite relevant restrictions.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KK-04.md; C01\KP-03.md; C01\KT-03.md; C02\KK-02.md; C02\KP-01.md; C02\KP-02.md; C03\KK-02.md; C03\KP-01.md; C03\KP-02.md; C04\KK-02.md; C04\KP-01.md; C04\KP-02.md; C04\KP-03.md; E01\KP-03.md; E02\00-cocu.md; E02\KK-01.md; E02\KK-02.md; E02\KK-03.md; E02\KP-01.md; E02\KP-02.md; E02\KP-03.md,Compliant,Coverage confirmed in 24 file(s). Verify depth of coverage in periodic review.
T&CM Act 2013,Patient Consent and Informed Consent,Every CU involving client contact must address obtaining informed consent before treatment. C01 and E01 are primary CUs.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KP-02.md; C01\KP-04.md; C05\KP-01.md; C05\KT-05.md,Compliant,Coverage confirmed in 7 file(s). Verify depth of coverage in periodic review.
T&CM Act 2013,Adverse Event Reporting,KP and KK documents must include steps for recognising and reporting adverse reactions during/after tuina treatment.,_reference\regulatory-compliance-matrix.md,Compliant,Coverage confirmed in 1 file(s). Verify depth of coverage in periodic review.
OSHA 1994,Workplace Safety Obligations (Section 15),Practical lesson plans (PM-amali) and work sheets (KK) must incorporate OSHA workplace safety requirements. Risk assessment steps required.,_reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KK-01.md; C01\KP-01.md; C01\KT-01.md; C01\PM-amali.md; C01\PM-teori.md; C02\00-cocu.md; C02\KK-01.md; C02\KP-02.md; C02\PM-amali.md; C02\PM-teori.md; C03\00-cocu.md; C03\PM-amali.md; C03\PM-teori.md; C04\00-cocu.md; C04\PM-teori.md; C05\00-cocu.md; C05\KA.md; C05\KK-03.md; C05\KK-06.md; C05\KP-03.md; C05\KP-06.md; C05\KT-03.md; C05\KT-06.md; C05\PM-amali.md; C05\PM-teori.md; E01\00-cocu.md; E01\PM-amali.md; E02\00-cocu.md; E02\KP-01.md; E02\PM-amali.md,Compliant,Coverage confirmed in 32 file(s). Verify depth of coverage in periodic review.
OSHA 1994,Ergonomics and Manual Handling,KP and KK documents covering tuina techniques must address practitioner ergonomics and correct body mechanics to prevent work-related injury.,_reference\regulatory-compliance-matrix.md; C01\KP-02.md; C02\KA.md; C02\KK-02.md; C02\KP-01.md; C02\PM-teori.md; C03\PM-amali.md; C03\PM-teori.md; C04\KP-03.md; C04\PM-teori.md,Compliant,Coverage confirmed in 10 file(s). Verify depth of coverage in periodic review.
OSHA 1994,Infection Control and Hygiene,All CUs involving client contact must address infection control protocols per OSHA 1994 and MOH guidelines. Sterilisation of equipment is mandatory coverage.,_reference\regulatory-compliance-matrix.md; C03\00-cocu.md; C04\00-cocu.md; C05\KA.md; C05\KK-03.md; C05\KP-03.md; C05\KT-03.md; C05\PA.md; C05\PM-amali.md,Compliant,Coverage confirmed in 9 file(s). Verify depth of coverage in periodic review.
OSHA 1994,First Aid and Emergency Procedures,At least one KP per practical module must address first aid procedures for adverse reactions and medical emergencies.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\KP-01.md; C01\KP-03.md; C02\KP-01.md; C03\KP-03.md; C05\KP-02.md; E02\KP-02.md,Compliant,Coverage confirmed in 8 file(s). Verify depth of coverage in periodic review.
PDPA 2010,Collection and Processing of Personal Data (Section 5),KP documents covering client assessment and record-keeping must include PDPA requirements for collecting and processing personal health data.,_reference\regulatory-compliance-matrix.md; C01\KA.md; C01\KK-01.md; C01\KP-01.md; C01\KP-04.md; C01\KT-01.md; C01\KT-04.md; C01\PM-amali.md; C01\PM-teori.md; C02\00-cocu.md; C02\KA.md; C02\KK-01.md; C02\KK-03.md; C02\KP-01.md; C02\KP-03.md; C02\KT-03.md; C02\PA.md; C02\PM-amali.md; C03\00-cocu.md; C03\KA.md; C03\KK-01.md; C03\KK-03.md; C03\KP-03.md; C03\KT-03.md; C03\PA.md; C03\PM-amali.md; C03\PM-teori.md; C04\00-cocu.md; C04\KA.md; C04\KK-03.md; C04\KP-03.md; C04\PA.md; C04\PM-amali.md; C04\PM-teori.md; C05\00-cocu.md; C05\KA.md; C05\KK-01.md; C05\KK-02.md; C05\KK-05.md; C05\KK-06.md; C05\KP-01.md; C05\KP-02.md; C05\KP-04.md; C05\KP-05.md; C05\KP-06.md; C05\KT-01.md; C05\KT-05.md; C05\KT-06.md; C05\PA.md; C05\PM-amali.md; C05\PM-teori.md; E02\00-cocu.md; E02\KP-01.md; E02\KP-03.md; E02\KT-01.md; E02\PA.md,Compliant,Coverage confirmed in 56 file(s). Verify depth of coverage in periodic review.
PDPA 2010,Confidentiality and Data Security,All assessment and record-keeping procedures must address patient confidentiality obligations under PDPA 2010.,_reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KP-01.md; C01\KP-04.md; C02\KP-03.md; C04\KA.md; C05\KP-01.md; C05\KT-01.md,Compliant,Coverage confirmed in 8 file(s). Verify depth of coverage in periodic review.
PDPA 2010,Patient Rights and Data Access,KP documents must inform practitioners of patient rights to access their own health records and withdraw consent.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\KP-02.md; C01\KP-04.md; C05\KP-01.md,Compliant,Coverage confirmed in 5 file(s). Verify depth of coverage in periodic review.
MOH Code of Ethics 2007,Professional Conduct and Integrity,All CU theory lesson plans must incorporate ethical principles of T&CM practice. KP documents should reference professional conduct obligations.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KK-03.md; C01\KK-04.md; C01\KP-01.md; C01\KP-03.md; C01\KP-04.md; C01\PM-teori.md; C02\00-cocu.md; C02\KK-03.md; C02\KP-01.md; C02\KP-02.md; C02\KP-03.md; C02\PM-teori.md; C03\00-cocu.md; C03\KP-01.md; C03\KP-02.md; C03\KP-03.md; C03\PM-teori.md; C04\00-cocu.md; C04\PM-teori.md; C05\00-cocu.md; C05\KK-05.md; C05\KP-02.md; C05\KP-05.md; C05\KP-06.md; C05\KT-05.md; E01\00-cocu.md; E01\KP-03.md; E02\00-cocu.md; E02\KP-01.md; E02\KP-02.md; E02\PA.md; E02\PM-teori.md,Compliant,Coverage confirmed in 35 file(s). Verify depth of coverage in periodic review.
MOH Code of Ethics 2007,Patient Welfare and Non-Maleficence,Safety protocols in all KK and PA documents must be framed within the non-maleficence principle. Contraindications must be explicitly addressed.,_reference\regulatory-compliance-matrix.md,Compliant,Coverage confirmed in 1 file(s). Verify depth of coverage in periodic review.
MOH Code of Ethics 2007,Referral and Scope Boundary,KP and KK documents must specify when a condition is beyond tuina scope and requires medical referral. C01 basic assessment CU is primary.,_reference\pregnancy-safety-reference.md; _reference\regulatory-compliance-matrix.md; C01\00-cocu.md; C01\KK-03.md; C01\KP-03.md; C02\KP-03.md; C03\KP-03.md; C04\KP-03.md; C05\KP-05.md; E01\00-cocu.md; E01\KP-03.md; E02\00-cocu.md; E02\KP-01.md; E02\KP-03.md,Compliant,Coverage confirmed in 14 file(s). Verify depth of coverage in periodic review.
MOH Code of Ethics 2007,Advertising and Representation,At least one reference per module to ethical advertising and representation restrictions for T&CM practitioners.,_reference\regulatory-compliance-matrix.md; C05\00-cocu.md; C05\KK-05.md; C05\KP-05.md; C05\KT-05.md; E02\KP-02.md; E02\KP-03.md,Compliant,Coverage confirmed in 7 file(s). Verify depth of coverage in periodic review.
