file,en_term,canonical_bm,bm_used,all_translations_found,context
aesthetic-services/C01\KP-01.md,body fat,Lemak badan,kaliper lemak badan*,kaliper lemak badan*; mesomorf*,Body fat calliper (*kaliper lemak badan*) | Skinfold thickness measurement at standard a
aesthetic-services/C01\KP-01.md,magnifying lamp,Lampu kanta pembesar,lampu pembesar*,lampu pembesar*,Magnifying lamp (*lampu pembesar*) | Skin examination | | Body fat calliper (*kaliper lemak bad
aesthetic-services/C01\KP-01.md,measuring tape,Pita ukur,pita ukur*,pita ukur*,Measuring tape (*pita ukur*) | Body measurements | | Weighing scale (*penimbang*) | Weight mea
aesthetic-services/C01\KP-01.md,hygiene,Kebersihan,kebersihan*,apron*; kebersihan tangan*; kebersihan*; tisu*; topeng muka*,Hygiene Standards  Hygiene (*kebersihan*) in the salon is governed by: - **Occupational
aesthetic-services/C01\KP-01.md,hygiene,Kebersihan,kebersihan tangan*,apron*; kebersihan tangan*; kebersihan*; tisu*; topeng muka*,hygiene (*kebersihan tangan*) | Hand washing with antibacterial soap; use of hand sanit
aesthetic-services/C01\KP-01.md,hygiene,Kebersihan,tisu*,apron*; kebersihan tangan*; kebersihan*; tisu*; topeng muka*,Hygiene during examination | | Tissues (*tisu*) | General use | | Sanitiser (*penyahjan
aesthetic-services/C01\KP-01.md,disinfection,Penyahjangkitan,penyahjangkitan permukaan*,penyahjangkitan permukaan*; penyahjangkitan*,disinfection (*penyahjangkitan permukaan*) | All surfaces wiped with approved disinfectant b
aesthetic-services/C01\KP-01.md,gloves,Sarung tangan,sarung tangan pakai buang*,sarung tangan pakai buang*,gloves (*sarung tangan pakai buang*) when handling cleaning chemicals and change glove
aesthetic-services/C01\KP-01.md,disposable,Boleh guna-buang,sarung tangan pakai buang*,pembalut badan pakai buang*; penutup dada*; sarung tangan pakai buang*,disposable gloves (*sarung tangan pakai buang*) when handling cleaning chemicals and chang
aesthetic-services/C01\KP-01.md,cross-contamination,Kontaminasi silang,jangkitan silang*,epilepsi*; jangkitan silang*,cross-contamination (*jangkitan silang*)
aesthetic-services/C01\KP-01.md,consultation,Konsultasi,katil konsultasi*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,Consultation couch/bed (*katil konsultasi*) | Client positioning for examination | | Trolley
aesthetic-services/C01\KP-01.md,consultation,Konsultasi,kad/borang konsultasi badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation card/form (*kad/borang konsultasi badan*) | Recording client information | | Di
aesthetic-services/C01\KP-01.md,body mass index,Indeks Jisim Badan,pita ukur*,pita ukur*,"Body mass index calculation | | Measuring tape (*pita ukur*) — flexible | Waist, hip, bust, thi"
aesthetic-services/C01\KP-02.md,body wrap,Balutan badan,pembalut badan pakai buang*,balutan badan*; haba oklusif*; pembalut badan pakai buang*; produk balutan badan*,"body wrap (*pembalut badan pakai buang*) | Single-use, hygienic | | Salon gown / robe (*j"
aesthetic-services/C01\KP-02.md,disposable,Boleh guna-buang,pembalut badan pakai buang*,pembalut badan pakai buang*; penutup dada*; sarung tangan pakai buang*,"Disposable body wrap (*pembalut badan pakai buang*) | Single-use, hygienic | | Salon gown "
aesthetic-services/C01\KP-02.md,disposable,Boleh guna-buang,penutup dada*,pembalut badan pakai buang*; penutup dada*; sarung tangan pakai buang*,"Disposable, for lower body modesty | | Breast cover (*penutup dada*) | Disposable, for fem"
aesthetic-services/C01\KP-02.md,consultation,Konsultasi,pengurusan berat badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation? Common reasons include:   - Weight management (*pengurusan berat badan*)   - B
aesthetic-services/C01\KP-02.md,consultation,Konsultasi,klien tetap*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation card/form; full body analysis required | | Returning client (*klien tetap*) | R
aesthetic-services/C01\KP-03.md,adipose tissue,Tisu adipos,tisu adipos berlebihan*,tisu adipos berlebihan*; tisu adipos*,"adipose tissue (*tisu adipos berlebihan*) | Localised fat deposits on abdomen, thighs, upper a"
aesthetic-services/C01\KP-03.md,adipose tissue,Tisu adipos,tisu adipos*,tisu adipos berlebihan*; tisu adipos*,Adipose Tissue (Tisu Adipos)  Adipose tissue (*tisu adipos*) is body fat
aesthetic-services/C01\KP-03.md,muscle,Otot,tonus otot lemah*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,"muscle tone (*tonus otot lemah*) | Flabby, slack muscles due to lack of exercise | | S"
aesthetic-services/C01\KP-03.md,muscle,Otot,tonus normal*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,Muscle wasting from disuse or illness | | Normal tone (*tonus normal*) | Good firmness
aesthetic-services/C01\KP-03.md,thoracic spine,Tulang belakang toraks,lordosis*,lordosis*,thoracic spine; round shoulders | | **Lordosis** (*lordosis*) | Excessive inward curvature of 
aesthetic-services/C01\KP-03.md,lumbar spine,Tulang belakang lumbar,skoliosis*,skoliosis*,lumbar spine; protruding abdomen | | **Scoliosis** (*skoliosis*) | Lateral curvature of the 
aesthetic-services/C01\KP-03.md,body fat,Lemak badan,mesomorf*,kaliper lemak badan*; mesomorf*,"body fat, fast metabolism | Slim, linear build | | **Mesomorph** (*mesomorf*) | Athletic"
aesthetic-services/C01\KP-03.md,cross-contamination,Kontaminasi silang,epilepsi*,epilepsi*; jangkitan silang*,Cross-contamination risk | | Epilepsy (uncontrolled) (*epilepsi*) | Risk of seizure during treatmen
aesthetic-services/C01\KP-03.md,contraindication,Kontraindikasi mutlak,tapisan kontraindikasi*,tapisan kontraindikasi haba*; tapisan kontraindikasi*,contraindication screening (*tapisan kontraindikasi*) BEFORE proceeding with any consultation as
aesthetic-services/C01\KP-03.md,consultation,Konsultasi,konsultasi badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation (*konsultasi badan*) is the systematic process of analysing the client's body t
aesthetic-services/C01\KP-03.md,consultation,Konsultasi,kad/borang konsultasi badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation card/form (*kad/borang konsultasi badan*) must capture:  | Category | Details |
aesthetic-services/C01\KP-03.md,consultation,Konsultasi,pelan perkhidmatan salon*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,"consultation findings, the aesthetician designs a service plan (*pelan perkhidmatan salon*) "
aesthetic-services/C01\KP-03.md,ectomorph,Ektomorf,ektomorf*,ektomorf*,"Ectomorph** (*ektomorf*) | Lean, long limbs, narrow shoulders/hips, low body fat, fast me"
aesthetic-services/C01\KP-03.md,mesomorph,Mesomorf,mesomorf*,mesomorf*,"Mesomorph** (*mesomorf*) | Athletic, muscular, broad shoulders, medium frame, efficient m"
aesthetic-services/C01\KP-03.md,endomorph,Endomorf,endomorf*,endomorf*,"Endomorph** (*endomorf*) | Rounded, wider hips, shorter limbs, higher body fat, slower me"
aesthetic-services/C01\KP-03.md,kyphosis,Kifosis,kifosis*,kifosis*,Kyphosis** (*kifosis*) | Excessive outward curvature of the thoracic spine; round should
aesthetic-services/C01\KP-03.md,lordosis,Lordosis,lordosis*,lordosis*,Lordosis** (*lordosis*) | Excessive inward curvature of the lumbar spine; protruding abd
aesthetic-services/C01\KP-03.md,scoliosis,Skoliosis,skoliosis*,skoliosis*,Scoliosis** (*skoliosis*) | Lateral curvature of the spine; uneven shoulders/hips | | **F
aesthetic-services/C01\KP-03.md,sensitivity,Sensitiviti,ekzema*,ekzema*; toleransi haba*,sensitivity / eczema (*ekzema*) | Patch test required; use hypoallergenic products | | High
aesthetic-services/C01\KP-04.md,muscle,Otot,rehat*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,muscle tone | | Rest (*rehat*) | Adequate sleep (7-8 hours) for tissue repair and stre
aesthetic-services/C01\KP-04.md,collagen,Kolagen,pelindung matahari*,pelindung matahari*,"Collagen serum, elastin serum | | Sunscreen (*pelindung matahari*) | Protect skin from U"
aesthetic-services/C01\KP-04.md,elastin,Elastin,pelindung matahari*,pelindung matahari*,elastin serum | | Sunscreen (*pelindung matahari*) | Protect skin from UV damage | SPF 
aesthetic-services/C01\KP-04.md,detoxification,Detoksifikasi,pemakanan*,balutan herba*; balutan tanah liat*; detoksifikasi*; haba lembap*; pemakanan*,"detoxification | | Diet (*pemakanan*) | Balanced diet with fruits, vegetables, lean proteins; "
aesthetic-services/C01\KP-04.md,consultation,Konsultasi,nasihat selepas konsultasi badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation advice (*nasihat selepas konsultasi badan*) is the final client-facing step in 
aesthetic-services/C01\KP-05.md,autoclave,Autoklaf,autoklaf*,autoklaf*,"Autoclave (*autoklaf*) | Steam under pressure (121 C, 15 psi) | Metal tools, glass | 15-2"
aesthetic-services/C01\KP-05.md,sterilisation,Sterilisasi,sterilisasi*,sterilisasi*,Sterilisation** (*sterilisasi*) | Complete destruction of all microorganisms including spores
aesthetic-services/C01\KP-05.md,disinfection,Penyahjangkitan,penyahjangkitan*,penyahjangkitan permukaan*; penyahjangkitan*,Disinfection** (*penyahjangkitan*) | Destruction of most pathogenic organisms (not spores) |
aesthetic-services/C01\KP-05.md,sanitisation,Sanitasi,sanitasi*,Sanitasi Kaki*; sanitasi*,Sanitisation** (*sanitasi*) | Reduction of microorganisms to a safe level | | **Disinfection
aesthetic-services/C01\KP-05.md,sharps,Benda tajam,benda tajam*,benda tajam*,"Sharps** (*benda tajam*) | Needles, broken glass, razor blades | Sharps container (pun"
aesthetic-services/C01\KP-05.md,clinical waste,Sisa klinikal,benda tajam*,benda tajam*; sisa klinikal*,"clinical waste bag; licensed waste contractor | | **Sharps** (*benda tajam*) | Needles, broken"
aesthetic-services/C01\KP-05.md,consultation,Konsultasi,penyelenggaraan kawasan kerja konsultasi badan*,kad/borang konsultasi badan*; katil konsultasi*; klien tetap*; konsultasi badan*; nasihat selepas konsultasi badan*; pelan perkhidmatan salon*; pengurusan berat badan*; penyelenggaraan kawasan kerja konsultasi badan*,consultation work area (*penyelenggaraan kawasan kerja konsultasi badan*) is essential for m
aesthetic-services/C02\KP-01.md,muscle,Otot,haba oklusif*,Otot Utama*; balsam otot*; haba oklusif*; rehat*; relaksasi otot*; tonus normal*; tonus otot lemah*,Muscle relaxation | | Body wrap | Balutan badan | Occlusive heat (*haba oklusif*) | De
