Subject,CU,LO_Code,LO_Text,Covered_By,Coverage_Percent
BEV,C01,LO-C01-01,"BEV rules and regulations: Licensing Legislative, Regulatory requirement, Certification requirement",NONE,0
BEV,C01,LO-C01-02,"BEV schedule maintenance safety, health and environment guidelines: Provision of a safe and conducive workplace (anti-static flooring, ergonomic), Personal Protective Equipment (PPE)",NONE,0
BEV,C01,LO-C01-03,"Overview of environmental impact in BEV industry: Guidelines in scheduled waste handling, Guidelines in prescribed activities (environmental impact)",NONE,0
BEV,C01,LO-C01-04,"Maintenance tools and equipment: Insulated Tools, Common tools, Equipment, Dedicated BEV work bay which includes anti-static flooring",NONE,0
BEV,C01,LO-C01-05,"Hazard Identification in workshop environment: Definition of hazard, Type of hazard, Threat, Control measure",NONE,0
BEV,C01,LO-C01-06,"Procedure of schedule waste management: Type of waste, Temporary waste disposal area",NONE,0
BEV,C01,LO-C01-07,"Procedure for Scheduled maintenance preparation: Equipment list layout, Tool list location, Toolbox talk, Assembly point/emergency route escape",NONE,0
BEV,C01,LO-C01-08,"BEV health check safety: Safety equipment inside the vehicle, Type of PPE and specification, Condition of BEV equipment or parts",NONE,0
BEV,C01,LO-C01-09,BEV health check tools and equipment,NONE,0
BEV,C01,LO-C01-10,"Procedure for BEV component active test: Checklist content, Testing procedure, Component condition",NONE,0
BEV,C01,LO-C01-11,"Diagnostic test: Function and operating of diagnostic system, Type and category of fault code, Interpret fault code",NONE,0
BEV,C01,LO-C01-12,Procedure for health check result report,NONE,0
BEV,C01,LO-C01-13,"BEV maintenance safety: Safety requirement of high voltage system, Condition of BEV parts (HV cable, HV battery pack)",NONE,0
BEV,C01,LO-C01-14,"Type of BEV and specification: BEV manufacturer, BEV model, Vehicle Identification Number (VIN), Component specification",NONE,0
BEV,C01,LO-C01-15,"BEV schedule maintenance checklist: Type of maintenance item, Type of maintenance activity",NONE,0
BEV,C01,LO-C01-16,"BEV maintenance tools and equipment: Insulated Tools, Common tools, Equipment, Dedicated BEV work bay which includes anti-static flooring",NONE,0
BEV,C01,LO-C01-17,"BEV Maintenance activity: Inspect, Top up, Replace",NONE,0
BEV,C02,LO-C02-01,"BEV rules and regulation: Licensing Legislative, Regulatory requirement, Certification requirement",NONE,0
BEV,C02,LO-C02-02,"BMS rectification safety & health requirements: Workplace safety guideline which includes anti-static flooring, BMS required PPE",NONE,0
BEV,C02,LO-C02-03,"BMS tools and equipment: Insulated Tools, Common tools, Equipment, Dedicated BEV work bay which includes anti-static flooring",NONE,0
BEV,C02,LO-C02-04,"Hazard Identification in BMS rectification: Definition of hazard, Type of hazard, Threat, Control measure",NONE,0
BEV,C02,LO-C02-05,"Procedure of schedule waste management: Waste classification, Waste disposal guideline",NONE,0
BEV,C02,LO-C02-06,"Procedure for BMS rectification workplace preparation: Equipment list layout, Tool list location, Toolbox talks, Assembly point/emergency route escape",NONE,0
BEV,C02,LO-C02-07,"BEV high voltage cable safety: Safety precaution of high voltage cable, Type of PPE and specification, Condition of BEV equipment or parts",NONE,0
BEV,C02,LO-C02-08,"High voltage cable replacement tools & equipment: Common tools, Insulated tools, Equipment, Dedicated BEV work bay which includes anti-static flooring",NONE,0
BEV,C02,LO-C02-09,"BEV low voltage system: Basic principle of Ohm's Law, BEV electrical diagram, Low voltage definition, Fundamental of low voltage circuit, Procedure to disconnecting 12V battery",NONE,0
BEV,C02,LO-C02-10,"BEV high voltage system: Fundamental of high voltage circuit, BEV standard electric wires colour, BEV bus-bar connection, Specification of electric wires",NONE,0
BEV,C02,LO-C02-11,"Procedure to disconnecting high voltage circuit: Vehicle key in ""READY"" off mode, Storing of vehicle key in safety box, Understanding high voltage warning signage, Disconnect 12V battery negative terminal technique, Disconnect interlock/service plug connection technique, Storing interlock/service plug in safety box",NONE,0
BEV,C02,LO-C02-12,"High voltage cable inspection activity and procedure: Cable connector condition, Cable insulation resistance test, Bus-bar insulation resistance test",NONE,0
BEV,C02,LO-C02-13,"High voltage cable interlock connection: Introduction to interlock function, Continuity inspection, Procedure for interlock connection continuity",NONE,0
BEV,C02,LO-C02-14,Procedure for high voltage cable replacement,NONE,0
BEV,C02,LO-C02-15,Procedure for high voltage system functionality test,NONE,0
BEV,C02,LO-C02-16,"BEV OBC safety: Safety precaution of high voltage cable, Type of PPE and specification, Condition for OBC parts",NONE,0
BEV,C02,LO-C02-17,"BEV high voltage cable replacement tools and equipment: Common tools, Insulated tools, Equipment, Dedicated BEV work bay which includes anti-static flooring",NONE,0
